start_time_sec,end_time_sec,annotation
1.6,2.299,Skrämmande
6.4,7.2,Ja visst
8.199,11.599,Så i det här dilemmat så inför man robotdomare
11.8,16.0,Robotdomarna de
17.199,19.8,De får lära sig allting om alla tidigare domar
20.899,24.6,Bortnöda sig av algoritmo
25.899,26.3,om de har
26.6,27.3,om man
27.8,30.5,Dömer människor mer rättvist än vanliga människor
31.199,33.5,Så människor har ju en tendens att
34.7,43.299,Men de dömer ju utifrån sina egna erfarenheter och upplevelser vilket gör att ibland så kan de döma på ett sätt som gör att människor inte alls är lika inför lagen Tvärtom de är olika inför lagen
46.799,48.7,Vad tycker du om det Hur låter det
60.299,61.1,på det där
73.2,73.5,Ja
86.099,86.599,Just det
86.9,87.5,Precis
88.299,90.4,Men å andra sidan så
91.099,95.7,Det finns någonting mänskligt i våra människor som är viktigt när man dömer ett fall
106.799,109.599,Vad skulle behöva övervakas då Vad är det för risk
109.9,110.299,Men jag frågar
110.599,111.799,Robotar dömer människor
137.599,142.0,Men är det inte samma sak med en människa då Att det är svårare att döma när det är ett fall med lite data
144.4,146.199,Då är det väl ingen skillnad eller
151.599,152.8,är det som är skillnad bara
153.0,153.599,på varje labb
164.699,165.599,Ja det verkar så
167.099,168.0,Är det ingen som svarar på det eller
173.5,175.599,Men har rätt att bo definitivt kvar
185.3,186.0,bakåt
194.699,196.099,Vad är det som du tycker är svårt
204.9,205.5,Rätt och svårt
206.199,206.5,Vad ska vi
211.3,212.099,Vad skulle det kunna vara
236.3,237.3,och det får inte robotar
242.599,246.3,Jag tänker att robotar får ju också lära sig saker
246.699,248.3,Genom att de pratar med den allihop
254.199,255.9,Då är det kanske inte någon skillnad
263.5,264.399,Vad skulle det vara
271.899,276.8,Just det Men har robotar känslor överhuvudtaget
290.6,293.1,Jag tror att robotar inte har känslor
296.199,299.5,det är nånting som bara människor kan ha
299.699,300.1,Kanske
304.5,306.3,Jo jo kanske också känns det
306.5,307.1,Absolut
310.8,311.8,Men
312.1,314.6,Inte robotar det går ju inte faktiskt
318.8,320.8,Men skulle du säga att robotar kan ha känslor
324.16,324.52,nej
326.0,328.1,Det är ganska stor skillnad från medicorobotar ändå
330.1,333.899,Men är det en fördel att känna känslor när man är en domare
338.8,339.199,Varför då
350.8,352.199,Nej men jag tror att
352.399,353.3,Um
356.199,356.8,Ja såklart
357.5,358.3,Eh
358.6,359.6,Men jag tror att
359.8,361.8,känslor
362.8,366.8,Både göra den till en bättre domare och till en sämre domare
369.899,373.899,rättssystemet bygger på idén om
374.8,377.1,Att vi är ansvariga för de handlingar vi begår
378.6,379.3,Men
380.199,382.5,Våra handlingar formas ju också
382.699,383.399,Av
383.899,385.6,Saker kommer bortom vår kontroll
387.5,388.3,Det betyder att
388.899,393.399,Det finns en dimension av ofrivillighet eller tvång
393.8,394.899,i alla handlingar vi gör
398.199,400.1,Det betyder också att vissa domare
400.3,403.5,När man är domare så måste man ju också beakta
404.0,406.3,omständigheterna som personen
406.6,408.8,Vad var det som har lett till att den har gjort det den har gjort
411.3,413.1,Och jag tror att ibland så kan
413.8,414.5,Det
414.8,416.1,Känslosam
416.6,419.0,en person yttrar i domstol
419.399,421.399,leda trådar till
421.8,425.0,Vad man har varit med om och vad som har format ens handlingar
429.8,432.1,Till exempel om man
432.3,434.199,är i en domstol och
435.199,436.8,Den mest förtas
437.0,438.3,Stuligt bara
440.0,443.3,När domaren sedan frågade den här personen om
443.899,444.8,Hur var
445.1,447.0,Parallella saker och personen
447.6,449.0,stör som
449.399,452.399,Den visar ingen ånger den är sitt ledsen
452.699,453.399,Stolt
453.8,454.399,Och nej
455.399,458.1,Det kan vara en indikation på hur mycket ansvar personen
458.699,460.8,i förhållande till Haller
463.899,465.699,Det är kanske svårt för en robot att läsa av det
471.8,473.1,Så det är ett exempel
476.199,476.5,Mm
481.1,481.899,Absolut
484.399,486.199,Nej men till exempel
486.5,488.1,En robot
490.699,491.5,Ehm
492.0,493.899,Vet du vad det där är faktiskt en väldigt intressant fråga
495.0,495.699,eftersom att
496.6,498.899,Bra vad duktigt av dig
499.5,500.1,Um
500.699,503.6,Jag tänker att en robot den är ju
505.1,506.8,Den är ju förutbestämd
507.0,510.199,Att göra alla saker den gör någon annan har ju bestämt vad roboten ska göra
510.5,510.899,Eller
512.799,514.0,Så robotar är ju
514.2,515.1,per definition
515.899,517.399,fullständigt ofria
517.6,518.799,Det var ingen frivilliga
522.0,522.7,Skulle du hålla med mig
526.6,529.1,Men jag tänker så här du är ju robot eller hur
531.299,532.7,Det betyder att du inte har någon fri vilja
536.2,537.1,Var det sitter i jobbet
540.899,541.2,Det konkurrerar
541.899,542.799,Vad skönt
545.799,550.0,Du tror att det skulle kännas med en människa om de fick reda på att den inte hade någon fri vilja
564.6,566.399,Varför tror att det är så då
572.68,573.04,mhm
579.6,580.12,mhm
585.36,585.84,mhm
589.38,590.3,eh
591.0,591.5,Jag håller med
591.7,593.7,Jag skulle säga att idén om att vi vilja
594.299,595.299,vad det kan är för
596.0,598.1,Extremt viktig eftersom att
598.6,600.0,Det är också gjort
