start_time_sec,end_time_sec,annotation
2.7,3.2,Hej
6.299,7.4,Det finns att träffa dig
13.5,15.3,Ja precis det ska vi expektera eller
24.0,27.1,Det första dilemmat hade väl om hur man skulle
27.8,30.199,Vad skulle det förhålla sig till att operera in ett chip
30.899,31.8,typen
32.0,33.2,I det här fallet
33.5,36.2,Ett litet chip stort som ett riskorn ungefär
36.7,39.799,Du menar att det är praktigare att ha den någon annanstans
41.2,44.899,Vad chipet skulle man aldrig behöva
45.5,48.299,Jag kom ihåg att de här busskort
48.6,50.899,Telefacerkortet och andra typer av
51.799,53.1,Det som
53.399,56.5,kopplar lite grann som som man behöver i sitt vardagliga liv
58.6,64.099,Frågan gällde om man skulle tacka ja till att operera in ett sånt här chip eller om man skulle tacka nej
75.9,76.2,Ja
76.5,79.099,Och jag valde då att
79.7,80.599,Tacka Dell
81.7,84.299,Därför är det här chipet
84.7,86.099,Av lite olika anledningar
86.799,90.599,För det första så brukar jag ha ganska bra koll på mina ägodelar
91.0,93.2,Då kan du tappa bort
93.4,95.599,Det är busskort eller liktallare
96.0,97.5,Jag känner inte jag skulle
98.5,104.299,Har inget behov av att operera in någonting som skulle ersätta de sakerna
105.5,106.0,Men vad skulle vara
106.299,111.9,Och för det andra så vill jag helst inte operera in någonting i min kropp
112.5,114.799,Inte medicinskt nödvändigt
115.2,118.9,Har vi en pacemaker liknande
119.4,124.099,med hjärta eller sådana saker skulle ju säkert leda
124.599,125.2,Något
125.799,127.5,Att operera in en sak
128.0,132.9,Som skulle kunna min kropp kanske inte accepterar det så jag kanske försöker stöta bort det och det ska orsaka andra problem
133.5,135.8,Det är ingenting jag helst vill göra
138.4,141.4,För det tredje så finns det alltid risker med att de
141.8,143.599,Alla tekniska apparater
144.0,148.3,Kan arvat kunna användas att spåra vad man gör vart man åker
149.0,150.699,Ja visst ja
150.9,151.8,Liksom öppna
152.199,153.8,Jag saknar mig själv bara
154.9,158.3,Aktiviteter man besöker och platser och liknande
159.4,160.199,eh
160.4,161.099,Övervit
162.3,165.199,Och man köper lika gärna spara sig en esparkonto
165.5,172.3,Och jag är säker att det finns en mobiltelefon
173.099,174.199,tracking device
174.5,175.0,liksom
176.099,180.3,Skulle helst inte vilja uttaka mig lättläst åt andra vakana ju ännu mer
194.96,199.0,Ja det tycker jag också
201.199,203.099,Har du några argument
203.4,205.099,Då behöver du dessutom tacka ja
282.699,283.5,Dessus
284.399,287.899,Det är ju att dina alla grejer
288.199,288.8,Så på
289.0,292.0,Ursprungliga etiska dilemmat
292.699,293.8,Eh tänker jag
295.3,298.8,Det är inte sant för jag tänker alltså hur pass iså
300.399,307.3,Man kan hela tiden vara på gränsen mellan ett chip som skulle vara medicinskt
307.6,309.6,Halvbart och någonting som bara
310.0,316.8,Skulle Apple komma in i ens lägenhet eller hjälpa dig köpa ett paket flingor på butiken
317.8,319.199,Det är fint
319.5,321.1,gräns när
321.5,321.899,Så
322.899,327.3,Man kan tänka sig att gränserna är tydliga för det är ju repetativt
335.699,336.6,Vet du vad du
337.0,337.3,Det är bra
339.0,339.899,Vilken sorts chip
340.1,340.8,Skulle du
341.1,344.3,Vad tänkte du då operera in i dig Vilka krav skulle du ställa
370.0,371.8,Jag är säker att
373.399,375.199,Nej jag drar gränsen ganska hårt
375.6,377.399,Jag liksom
378.1,384.0,Det hade varit intressant Det är ingenting jag känner att jag har behov av
384.399,386.5,ganska frisk såvitt jag vet
389.699,393.6,Jag skulle nog dra gräns till medicinsk värde på min kropp
394.3,396.399,tysk och väl fungerande
397.199,397.699,Är det
400.399,404.5,Något som bara skulle göra vardagslivet kanske lite enklare eller bekvämare
404.699,407.6,Det skulle inte gå med operation eller något sådant
408.199,411.699,Det är bara mina egna saker
412.1,416.5,Det skulle jag ju
417.899,418.199,Ja
420.1,421.899,Så det inte ville göra fel
422.1,422.6,I alla fall
445.199,447.8,Skulle säkert exempelvis att skulle
448.199,448.899,Jag tänker att
449.5,453.399,Om en person skulle behöva en pacemaker för att ha lång hjärtat
453.6,456.699,Men den personen inte vill det för att tycka att det är mot hans principer
457.5,459.899,opererat in saker i hans kropp
460.699,465.699,Patienten ansåg att det var legitimt att läkarna tvinga honom att acceptera den här pacemakern
466.0,467.8,Eller skulle du tycka att
468.199,470.0,Alltså rätta bestämma sig själv
470.3,470.699,Det gick
471.0,472.6,Det kan vara värre
473.3,475.199,Hans medicinska behov
500.6,500.899,Jo
501.199,502.1,Det kan hålla med om
502.699,505.3,Det är ju den personens lur trots allt
512.6,515.6,Du tänker på en annan aspekt gällande
515.899,516.5,Eh
516.899,518.299,bara lite om det
532.299,534.2,Att den att inte vi spårar allt menar du
572.799,573.899,Ja precis
575.899,577.1,Vad skulle vi kunna
577.299,582.299,Då skulle de lova att det inte finns någon GPS och att du inte chippar Jag kan ju aldrig vara säker
582.5,584.6,Ja det är underbart
584.899,587.299,Tekniskt kompetens som krävdes bara att
587.7,589.299,Vissa uttalades sådant
590.2,594.899,I sån situation skulle jag hellre ta det säkra före det osäkra
596.6,599.6,Man säg att undvika att operera in något chip
