start_time_sec,end_time_sec,annotation
0.9,1.399,Det
4.9,6.099,Det är ganska mycket anonym
9.599,14.0,Vi ska prata om flera dilemman idag men jag vet faktiskt inte vilka dilemman vi ska prata om
15.3,18.0,Det är väl ändå bra att det finns en människa som arbetar för straffbedömen
38.899,39.6,Absolut
64.2,65.799,Ja jag tänker mig
66.299,67.2,Vad skulle kunna
68.0,73.4,Jag har sett en del litteratur sedan men det skulle kräva som en väldans massa arbete
81.2,83.4,Det är två väldigt stora områden som tillämpas
83.799,86.4,Vad fan sa han
87.2,88.299,Att balansera
120.4,120.799,Ja
122.299,122.799,Eh
123.5,128.699,Man skulle inte verkligen använda dem för rättsväsendet
130.3,131.4,Men det finns
131.699,133.099,Det kommer nästan att bli fel
133.5,135.0,Vad tror du då
171.099,172.699,Det är ju kanske en fördel
172.9,175.199,Nej det låter som att
175.9,179.4,Vad har människor som är bra på att programmera som ska göra det
180.099,185.3,Men den behövs självklart input från människor som är experter inom juridik
186.8,188.199,Men går in någon
188.4,189.3,Minstrasande
190.4,192.5,Ja det skulle kunna vara 50 av jobbet
193.3,197.8,Och sen så skulle man också vilja utöka så att den blev balanserad
199.199,204.099,Det finns inte många vita människor som svart människors som döms
205.4,206.099,Så vidare
207.4,209.3,Det blir väldigt mycket drift
218.9,223.099,Om det skulle vara så att det till exempel är fler vita som döms idag
224.3,228.9,Eller fler saker som döps som helst egentligen
231.699,233.599,Och den brödsko
234.099,242.0,Vi har lagt grunder idag att vi vill använda oss av robotar för att undvika det i framtiden Om vi ger robotarna exakt samma data alltså att
242.5,247.599,Sett till exempel att vita människor skulle bli dömda oftare för ett visst typ av brott även fast de inte
249.0,250.5,En skön liten bonus också
252.199,252.9,Och då
253.599,254.099,Kunde
266.1,266.6,Ja
267.0,270.399,Jag tror inte att robotar är dåliga på att resonera skulle jag säga
271.3,273.3,Tillsammans med övervakning
274.1,275.899,En punkt på spanska skulle nog hjälpa
276.199,277.0,Parti
290.1,291.0,Här till exempel
325.1,326.5,Tänk att du står i en domstol
345.899,346.8,Vad är det sant
