start_time_sec,end_time_sec,annotation
1.0,2.0,hello hello hej
4.7,6.3,nu är jag tillbaka med ett nytt
6.6,7.5,etiskt dilemma
9.5,9.9,ja
10.2,13.9,och ehm denna gången så har det att göra med ett chip
14.3,17.8,eh som man kan få inopererat mellan eh
18.4,20.1,tumme och pekfinger
21.0,21.3,så
22.1,22.6,eh
24.7,26.0,exakt och
26.2,32.0,eh så kan du koppla det här chippet till eh ja bankkort busskort eller eh
32.9,33.5,liknande
34.0,36.9,eh och använda dig utav det
40.6,42.4,ja exakt exakt
45.9,46.6,eh
46.8,47.5,så det lät
48.0,50.1,spännande tycker jag eh
51.8,55.8,jag tänkte lite såhär för och nackdelar med ja men detta och eh
56.6,57.2,det
57.5,59.0,jag tyckte det lät som en bra idé
59.7,60.3,ehm
60.5,63.2,förutsatt att det funkar och eh
63.5,66.4,det är framförallt för att jag tycker det är skönt och inte ha så mycket
67.0,70.0,saker med mig när jag lämnar hemmet och ehm
70.9,73.3,ja jag har ju knappt behövt ha bankkort och
73.7,74.6,busskort
74.8,76.6,eh kopplat till ens internet så
76.8,77.1,ja
77.6,79.1,kan jag bara ha det istället
101.2,102.0,mhm
102.5,103.0,ja
105.6,109.4,ja du tänker att man har allt på på ett och samma kort istället?
114.8,115.3,ja
117.8,120.2,det kan ju också vara ett annat alternativ
121.5,124.3,precis men då måste du ju ändå ha ett fysiskt föremål
124.9,125.6,med dig
134.6,135.1,ja
136.8,137.7,ehm
138.0,138.5,ja
142.2,144.5,ja men det det är ju bara med alltså till att börja med
144.8,147.5,kirurgiska ingreppet är ju alltid en risk med
147.7,148.9,få en infektion
149.7,150.4,eh
151.0,153.2,sedan är det väl också den här känslan att ha något
154.6,155.1,vet vi
155.4,156.9,väl inte vilka matrial
157.1,160.2,vid tillverkningen av det förmodar jag att det är något icke-biologiskt material
160.8,162.3,eh och ha det i sin
162.8,163.3,kropp
163.5,165.6,att det det känns kan kännas lite
167.0,167.5,eh
167.7,168.3,speciellt
181.3,181.7,men
183.2,184.9,ja vi eh
187.3,189.4,ja mobiltelefoner har ju det
189.8,192.7,så när jag tänker att vi har ju ja jag har i alla fall bytt
193.4,195.8,min mobiltelefon som bankkort lite då och då
196.5,197.2,eh
197.5,197.8,ja
199.2,199.6,ja
199.8,201.4,hur tycker du det funkar?
215.1,215.5,ja
223.5,223.9,nej
227.5,227.9,ja
229.8,230.2,absolut
231.7,233.5,jo jag brukar ha det
234.2,239.5,ja jag brukar använda mobil när det funkar med jag tycker att ibland så registrerar inte kortläsaren
240.2,242.5,själva blippen när man håller fram mobilen
243.5,244.2,så det har ju hänt
245.4,248.2,nej så det har ju hänt några gånger att jag har fått swisha till mitt
248.4,250.1,eh ja mitt fysiska
250.9,252.9,bankkort då när jag eh
254.1,255.0,när jag ska betala
258.1,261.0,ja lite så för då vet man ju inte riktigt om man
261.5,263.4,alltid måste ha med sig båda
263.9,266.7,grejerna när man eh lämnar hemmet eller inte
271.1,271.6,det är sant
271.9,273.7,det är sant eh
274.1,279.1,absolut det då kan det ju bli riktigt skört om det blir så att det inte funkar alls
281.6,282.1,så då har vi ett
282.6,284.5,ytterligare argument mot då
294.0,295.5,ja det
296.7,298.1,intressant eh
298.4,300.5,den här med teknologin och det
301.2,303.1,det är ju något som går framåt hela tiden
303.8,304.4,eh
304.6,306.1,har du några mer eh
306.5,309.5,förslag på vad man skulle ha kunna ha chippet till förutom
310.1,312.8,som ja säg bankkort eller eh busskort?
319.4,319.8,mhm
322.5,322.9,mhm
332.1,332.4,mhm
333.5,333.9,mhm
352.0,352.4,ja
367.4,367.8,mhm
374.3,374.7,mhm
383.2,383.5,nej
386.6,386.9,nej
411.3,412.0,mhm
413.8,414.6,verkligen
415.5,417.9,och du har ju en dystopisk eh
418.3,423.3,haha tanke det det skulle du nästan kunna skriva en bok om haha
423.6,425.5,ja det är ja haha
427.4,429.7,okej ja nej men ja verkligen
431.1,435.3,ehm men eh ja summan av kardemumman känner du att det är mer
436.0,437.0,som talar mot
437.3,439.9,eller för i det här etiska dilemmat?
455.9,456.3,mhm
471.0,471.4,mhm
481.5,481.9,mhm
490.1,490.6,nej
493.6,496.1,eh men men sa du ju sa du ja eller nej där?
497.4,498.5,ja du säger nej? ja
502.6,506.5,eh men jag överväger det jag jag skulle säga att jag känner att det är mer
506.9,510.1,eh jag är mer för än emot just nu
510.6,516.1,just så tycker jag det verkar så himla smidigt eh och jag gillar jag gillar smidiga lösningar när man kan ha
517.4,517.8,ja
518.3,519.9,många saker på samma ställe
520.1,523.2,eh förutsatt att det fungerar då
523.5,524.1,ehm
524.7,525.6,och det är där
526.3,528.6,kände jag just när det kommer till teknologi att det känns som
530.1,533.0,ja när det kommer till olika tekniska produkter
533.4,534.2,att deras
534.5,535.3,eh
535.6,537.7,life lifespan alltså hur länge de
538.0,540.8,håller helt enkelt det kan vara ganska begränsat
541.8,542.5,ehm
543.5,548.9,så det är bra men jag vill lägga mig lite tillbaka eh och sedan är det såhär att innan man har ett chip
549.3,552.4,då bör man ju testa det i många år framöver och det
552.7,555.3,är det lanserat på marknaden då vet man ju inte riktigt
556.4,557.8,hur många år det håller
558.2,558.6,så
559.7,560.5,eh
560.9,565.8,och man behöver se att du kan behöver göra eh göra ett ingrepp sätta in chippet
566.1,567.7,sedan behöver man byta ut det efter fem år
568.3,570.3,då är jag inte intresserad men
570.9,574.5,sätter du in chippet och att det håller i säg tjugo tjugofem år då
574.7,575.8,kan jag absolut vara
576.5,577.5,intresserad av det
587.9,589.8,absolut det eh
590.2,592.7,vi vill inte att det ska vara gjort på
593.4,597.3,tungmetaller eller andra skadliga ämnen som kan påverka kroppen
598.0,598.9,eh
599.17,600.003,så det det det
