start_time_sec,end_time_sec,annotation
1.0,1.7,hallå
3.6,4.8,så nu handlar det om
5.0,6.4,det är okej att göra ett
6.6,7.5,gentest
7.9,8.9,inför en dejt
9.2,9.9,så att
10.6,11.5,du får
11.7,15.2,om du ska träffa en person så frågar den personen
15.8,16.7,om du vill göra ett
17.1,18.9,en dna-analys på dig
20.2,22.8,eh innan dejten för att till exempel se om
23.4,24.6,du har vissa
24.9,26.9,eh sjukdomar eller eh
27.1,28.9,någon form av psykisk sjukdom
29.4,32.1,så frågan är då om det är okej att göra den
32.5,35.2,typen av av gentest innan en dejt?
35.8,37.5,och och fråga om det här?
43.6,44.9,och det känns ju ganska
46.3,47.3,ganska konstigt
48.7,49.5,tycker nog jag
54.7,58.0,att någon på första inför en första dejt ska fråga
59.1,60.4,och vill ha ett dna-prov
62.0,63.2,det känns ganska märkligt
67.0,68.3,eller jag vet inte vad du tycker
76.4,76.9,mhm
87.5,88.1,ja
104.0,104.6,ja
116.5,117.4,bra poäng
121.1,121.7,ja
125.2,125.9,mhm
137.2,137.8,mhm
140.0,140.5,mhm
145.3,146.1,mhm
147.1,150.3,vafan men du har de här anlagen eller jag ser att du har den här
151.0,155.1,psykiska störningen så det är därför du beter dig på det här sättet ja nej
155.8,159.9,och av det jag kan absolut förstå för dna-test och göra det om man
160.6,164.1,ja men är surrogatmamma eller eller
164.5,167.1,eller sådär det kan jag det kan jag förstå
168.7,169.5,ehm
170.0,191.1,ja men man vill ju veta vilka anlag som personer har men just inför en första dejt känns väldigt overkligt och någonting som känns väldigt privat om man tänker själv på de personerna man har varit på en dejt med och de alla de skulle få en dna-analys det hade bara känts sjukt konstigt
191.8,193.8,det där känns som det är någonting man gör
194.2,197.1,ifall man kanske har svårt att skaffa barn men då är man ju
197.8,203.2,stabilt förhållande eller eller gör vissa dna-analyser om man ja men misstänker att man har
203.8,206.5,adhd eller ja jag vet inte exakt men
207.5,210.6,inför en första dejt det känns väldigt väldigt privat
216.7,218.9,och kan ja användas emot en
221.4,222.4,eller för att
231.7,232.7,men ja
236.9,241.5,sedan kanske man vill veta det av eget syfte men det känns som att det är i sådant fall jag som bestämmer om jag vill
241.8,246.6,göra hälsoundersökningar om jag jag har amen anlag för någonting eller
247.0,247.9,för att det är ju
248.4,251.1,för mitt eget syfte och inte för
252.6,253.6,någon annan
254.3,255.8,kanske så
259.6,261.5,ja jag vet inte vad du tycker
279.6,280.2,mhm
290.5,290.9,mhm
294.7,295.1,mhm
299.7,300.4,mhm
314.8,316.7,ja ja på så sätt så är det ju
317.8,319.3,såhär inget viktigt men
320.4,326.9,ja som sagt inte inte i i dejtsyfte men absolut att den där jävla ja men släktforskning eller
327.5,328.1,ehm
329.3,334.9,ja men som du säger vilka finns det några andra sjukdomar i släkten och något då
335.9,336.7,men
338.6,341.5,ja det är verkligen för ens eget syfte och
342.2,342.8,ehm
343.4,346.1,eller kanske för inget annat än släktforskning
350.3,358.9,det känns verkligen som ett brott på något sätt mot gdpr om man ska börja dela dna-analyser med varandra det kan ju
359.3,361.5,det kan ju vara någon sjuk människa som
361.9,366.1,ja gärna filmar de här dna-analyserna inte vet jag men det känns
367.4,371.9,väldigt konstigt att man kan låta vem som helst som man egentligen kanske inte riktigt känner
373.5,376.4,få be om en sådan här dna-analys av
388.9,389.5,mhm
390.2,390.7,mhm
395.5,396.8,ja jo kanske
399.8,401.1,man kanske gör vad som helst
404.4,405.1,ja
406.7,409.9,ja det hade varit lite häftigt och att faktiskt släktforska
411.0,412.8,det det har jag faktiskt aldrig gjort
414.4,417.0,det har nog inte mina föräldrar heller gjort men det vore
417.4,420.5,vore lite spännande för man vet ju egentligen inte jättemycket om
421.1,424.5,ja men tre generationer bakåt de som var
424.9,427.1,ja men mormors mamma och
428.3,430.5,där någonstans tar det ju verkligen stopp
438.2,440.7,var det inte någon sådan dokumentär i
441.6,444.4,att det var någon eh i USA
445.0,448.3,en man en präst? nej han var läkare var han som
448.8,449.8,ehm
450.6,451.8,som eh
452.4,454.6,ja men på en klinik han var läkare för
455.0,457.6,ehm ja men personer som inte kunde få barn
458.1,459.3,och eh
459.6,462.6,och hade liksom en katalog med sperma
466.9,470.3,säger man spermadonatorer? ja det kanske man gör donatorer ja
471.6,474.1,där det fanns ja men en katalog bara ja men ehm
474.5,476.5,ja men honom vill vi ha exakt så
476.9,479.9,men han använde sin egen sperma
481.8,483.8,ehm så istället för
484.4,489.1,för ja men för pappans sperma så tog han sin egen sperma då och förde in i i kvinnan
489.6,494.1,och sedan visar det ju sig att eh han har ju gjort extremt många kvinnor gravida
494.7,495.0,och
495.4,496.8,och det var någon som då började
497.0,498.1,släktforska
498.8,499.3,ehm
499.6,501.9,som ja men som där var en dotter då
502.2,502.8,ehm
503.5,506.7,och sedan så var det vart det fler och fler och fler och fler matcher
506.9,507.4,ehm
507.7,508.2,och dem
509.0,509.5,ja
510.2,512.6,jag tror de var över femtio syskon eller någonting
513.4,515.3,och han erkände liksom inte
515.8,517.1,ja men sitt brott så
518.9,522.1,jag tror det här finns på tv4 eller netflix eller någonting den är ganska ny
526.4,527.2,ja den är sjuk
530.7,531.4,den är väldigt sjuk
534.8,536.0,sedan läskigt också om de skulle
536.3,539.0,göra släktforskning och så visar det sig att oj
539.8,542.5,jag var visst adopterad eller oj min pappa har
543.5,544.0,hade en
545.4,547.5,fick barn med någon som han inte vet om eller ja
548.0,548.9,sådant kan ju också hända
559.2,559.7,ja
560.4,561.0,och bara
561.6,563.0,oj det här visste vi inte om
566.1,566.8,men eh
567.6,568.0,ja
573.2,573.9,den är sjuk
576.6,578.1,men du hade inte släktforskat nej?
598.73,599.49,mhm mhm
