start_time_sec,end_time_sec,annotation
0.1,0.7,hej hej
3.5,4.0,hej
8.1,9.3,ja vad spännande
14.8,15.7,mhm
21.2,24.3,oj okej ett medicinskt ingrepp
25.9,26.4,mhm
32.9,33.7,jaha
34.1,35.1,jaha okej
38.0,40.4,jaha så man man har det med sig hela tiden liksom
42.1,43.4,mhm mhm
52.3,52.7,ja
55.5,56.0,ja
59.6,61.1,mhm intressant
62.4,62.8,mhm
76.7,77.2,mhm
79.2,79.7,mhm
81.5,82.0,mhm
82.7,83.3,ja
84.6,86.1,nej jag förstår att det är
86.9,88.5,att det är praktiskt liksom
89.2,90.1,verkligen
90.5,91.4,men eh
93.0,101.5,finns det liksom inget annat alternativ att man skulle kunna ha det på ett kort haha alltså kombinera alltingpå ett kort eller ha allting i mobilen eller någonting?
111.0,115.0,ja precis så att man slipper operera in något i fingret
120.7,121.3,mhm
124.9,125.6,mhm
126.0,130.0,det stämmer det måste man ju ha faktiskt
130.6,134.6,jag antar att det är lite häftigt att kunna bara gå helt utan grejer
138.1,141.4,men du sade att du hade vägt vägt för och nackdelar hittar du några nackdelar då?
147.3,148.8,mhm ja
149.4,150.1,mhm
160.9,161.6,mhm
164.4,165.2,mhm
169.1,169.8,ja
170.2,173.5,i alla fall om det är något som man inte måste ha liksom
175.2,177.6,ja ja men det är lite speciellt så
178.1,179.2,absolut
196.7,199.5,mhm det har jag börjat med nu också
202.6,207.1,det funkar väldigt smidigt faktiskt särskilt när jag har liksom appen på
207.5,218.4,eh väldigt lättåtkomligt då känns det som att eh du vet jag håller ju ändå i mobilen hela tiden och kollar på saker och då blir det väldigt praktiskt att eh liksom bara dra fram den faktiskt och det har jag
218.8,219.4,det är över
220.4,227.9,över förväntningarna jag trodde inte att det skulle göra skillnad för mig att ha kort eh på mobilen men det har faktiskt varit väldigt smidigt
229.0,229.8,mhm
230.0,231.3,hur har det varit för dig då?
241.6,245.6,mhm okej det har inte jag gjort förut
251.0,252.8,mhm mhm
255.9,258.1,okej det låter lite jobbigt ändå
264.1,266.0,mhm mhm
267.8,270.2,det skulle kunna bli som med chippet också
277.5,278.2,mhm
280.3,281.0,mhm
285.1,285.7,mhm
288.1,289.0,precis
303.7,305.0,verkligen
314.0,315.8,just det ja alltså
316.3,319.1,det är väl det här som gör att jag skulle vara lite kritisk mot det
319.4,322.2,men man skulle ju kunna ha till exempel sitt pass
322.7,326.2,man skulle kunna ha någon slags gps
326.4,333.5,och såhär koppla det till ens hörlurar eller ens google glasses så att man vet liksom vart man ska gå
333.7,334.9,man skulle kunna
335.6,341.0,koppla ja men pass och id eh kanske till och med såhär
341.8,351.6,om man har någon sjukdom typ diabetes kanske det där chippet skulle kunna såhär mäta ens blodvärden eller blodtryck och så vidare
351.8,353.2,men eh det känns som att
355.8,361.1,det känns som att ja all den här typen av data har ju vi möjlighet att redan
362.2,363.1,ehm
364.2,365.1,alltså
365.3,374.4,lagra någonstans om oss själva men det känns bara lite känsligt när det är i ens kropp till exempel ens ens pass då
374.8,375.7,ehm
376.2,383.3,det skulle ju säg att det här är ju lite dystopisk men säg att ehm Sverige skulle bli hackat
383.6,387.9,typ staten svenska staten skulle bli hackad och ehm
388.9,389.9,alla
390.3,393.1,alla alla banker liksom eh
393.7,401.4,det finns inga pengar längre alla konton blir tömda alla pass blir liksom spärrade eller eh eller liksom raderade från den här
401.7,402.7,från molnet
403.6,410.9,eh och ja så har man ingen möjlighet att resa eller någonting då känns det lite känsligt att man har allting i ett finger förstår du vad jag menar?
418.5,419.2,haha ja
422.8,423.3,ja
423.6,424.5,gud vad bra
425.7,427.0,haha
440.5,448.4,alltså jag är ju ganska slarvig så det kanske hade varit praktiskt men och jag litar jag är ju sådan som jag litar ju på
449.8,463.3,våra institutioner och så och liksom om ett företag säger att såhär ja det är det här vi gör med ditt chip det är ingen mer data vi lagrar och det gör inget med det då brukar jag kunna då kan jag vara ganska godtrogen så jag vet inte kanske men
463.7,464.8,men eh
465.4,470.4,man vet ju aldrig om liksom om saker fortsätter vara som de är idag
471.1,475.9,det skulle kunna vara så att liksom ja idag så har vi en regering som vi kan lita på men det ska alltså
476.9,481.1,det är väl jätteliten risk men vi kanske har liksom en diktatur om tjugo år
481.7,483.3,jag tror inte att det kommer hända men
484.1,485.8,eh och då kanske man inte ska ha
486.1,486.6,liksom
488.0,489.5,allting digitaliserat
490.4,492.8,jag vet inte nej jag kanske slutar med ett nej ändå
493.1,494.0,haha
496.4,497.3,jag tror jag säger nej
498.6,498.9,ja
501.1,501.5,du då?
510.2,510.5,ja
513.1,513.5,mhm
520.4,520.8,mhm
523.7,524.1,mhm
539.0,539.5,mhm
539.7,540.2,mhm
541.2,541.7,mhm
546.8,547.5,mhm
549.3,549.8,mhm
558.8,559.4,nej
566.2,566.7,mhm
568.3,569.1,mhm
570.8,572.0,nej det känns inte kul
574.8,575.4,mhm
577.8,578.3,mhm
578.9,580.1,ska du vara orolig
580.3,583.4,för vad chippet innehåller och sådant då om det liksom
584.8,585.5,är
586.3,588.1,dåligt för kroppen på något sätt?
589.3,590.0,mhm
594.9,596.2,mhm haha
597.63,597.97,mhm
